gen,time,view,point,coord1,coord2
1,1.000,xz,1,0.000000,0.000000
1,1.000,xz,2,0.000000,0.000000
1,1.000,xz,3,0.000460,0.005389
1,1.000,xz,4,0.000869,0.009574
1,1.000,xz,5,0.000869,0.009574
1,1.000,xz,6,0.000923,0.010172
1,1.000,xz,7,0.000923,0.010172
1,1.000,xz,8,0.001082,0.011968
1,1.000,xz,9,0.001813,0.020343
1,1.000,xz,10,0.002142,0.024536
1,1.000,xz,11,0.002142,0.024536
1,1.000,xz,12,0.002234,0.025735
1,1.000,xz,13,0.002395,0.029339
1,1.000,xz,14,0.002395,0.030541
1,1.000,xz,15,0.002327,0.032344
1,1.000,xz,16,0.002170,0.034743
1,1.000,xz,17,0.002013,0.036538
1,1.000,xz,18,0.001608,0.040723
1,1.000,xz,19,0.001408,0.042513
1,1.000,xz,20,0.001003,0.046090
1,1.000,xz,21,0.000954,0.046689
1,1.000,xz,22,0.000837,0.048488
1,1.000,xz,23,0.000779,0.049689
1,1.000,xz,24,0.000632,0.052692
1,1.000,xz,25,0.000554,0.053891
1,1.000,xz,26,0.000507,0.054490
1,1.000,xz,27,0.000337,0.063482
1,1.000,xz,28,0.000337,0.063482
1,1.000,xz,29,0.000396,0.064079
1,1.000,xz,30,0.000467,0.064674
1,1.000,xz,31,0.001156,0.070018
1,1.000,xz,32,0.001201,0.070617
1,1.000,xz,33,0.001241,0.071216
1,1.000,xz,34,0.001317,0.072415
1,1.000,xz,35,0.001902,0.078993
1,1.000,xz,36,0.001969,0.079589
1,1.000,xz,37,0.001597,0.084913
1,1.000,xz,38,0.001399,0.085467
1,1.000,xz,39,0.000501,0.087637
1,1.000,xz,40,0.000501,0.087637
1,1.000,xz,41,0.000267,0.088174
1,1.000,xz,42,-0.000211,0.089243
1,1.000,xz,43,-0.001177,0.091367
1,1.000,xz,44,-0.002652,0.094543
1,1.000,xz,45,-0.004005,0.097125
1,1.000,xz,46,-0.004818,0.098682
1,1.000,xz,47,-0.007384,0.103271
1,1.000,xz,48,-0.008398,0.104677
1,1.000,xz,49,-0.009094,0.105594
1,1.000,xz,50,-0.009795,0.106509
1,1.000,xz,51,-0.010825,0.107899
1,1.000,xz,52,-0.011151,0.108375
1,1.000,xz,53,-0.014180,0.117814
1,1.000,xz,54,-0.014180,0.117814
1,1.000,xz,55,-0.014233,0.118413
1,1.000,xz,56,-0.014639,0.121381
1,1.000,xz,57,-0.015491,0.124848
1,1.000,xz,58,-0.015491,0.124848
1,1.000,xz,59,-0.016295,0.128325
1,1.000,xz,60,-0.016395,0.130124
1,1.000,xz,61,-0.016373,0.132530
1,1.000,xz,62,-0.016362,0.133733
1,1.000,xz,63,-0.016296,0.135536
1,1.000,xz,64,-0.016045,0.137920
1,1.000,xz,65,-0.015949,0.138509
1,1.000,xz,66,-0.014721,0.143056
1,1.000,xz,67,-0.013907,0.145227
1,1.000,xz,68,-0.013434,0.146276
1,1.000,xz,69,-0.012898,0.147285
1,1.000,xz,70,-0.009833,0.152088
1,1.000,xz,71,-0.009833,0.152088
1,1.000,xz,72,-0.008057,0.154292
1,1.000,xz,73,-0.006398,0.155757
1,1.000,xz,74,-0.006398,0.155757
1,1.000,xz,75,-0.006398,0.155757
1,1.000,xz,76,-0.002708,0.157910
1,1.000,xz,77,-0.001318,0.158643
1,1.000,xz,78,-0.001318,0.158643
1,1.000,xz,79,0.004349,0.162709
1,1.000,xz,80,0.004349,0.162709
1,1.000,yz,1,-0.000049,0.001198
1,1.000,yz,2,-0.000201,0.004791
1,1.000,yz,3,-0.000201,0.004791
1,1.000,yz,4,-0.000423,0.008976
1,1.000,yz,5,-0.000423,0.008976
1,1.000,yz,6,-0.000548,0.011369
1,1.000,yz,7,-0.000732,0.014357
1,1.000,yz,8,-0.000775,0.014953
1,1.000,yz,9,-0.000888,0.016746
1,1.000,yz,10,-0.000916,0.017345
1,1.000,yz,11,-0.000967,0.018543
1,1.000,yz,12,-0.001123,0.022140
1,1.000,yz,13,-0.001123,0.022140
1,1.000,yz,14,-0.001327,0.026935
1,1.000,yz,15,-0.001381,0.030541
1,1.000,yz,16,-0.001272,0.034144
1,1.000,yz,17,-0.001186,0.035941
1,1.000,yz,18,-0.001013,0.038929
1,1.000,yz,19,-0.000879,0.041320
1,1.000,yz,20,-0.000879,0.041320
1,1.000,yz,21,-0.000469,0.047888
1,1.000,yz,22,-0.000407,0.049689
1,1.000,yz,23,-0.000368,0.050890
1,1.000,yz,24,-0.000326,0.052091
1,1.000,yz,25,-0.000302,0.052692
1,1.000,yz,26,-0.000020,0.058082
1,1.000,yz,27,-0.000028,0.062286
1,1.000,yz,28,-0.000270,0.065267
1,1.000,yz,29,-0.000270,0.065267
1,1.000,yz,30,-0.000334,0.065859
1,1.000,yz,31,-0.000463,0.067042
1,1.000,yz,32,-0.000678,0.069421
1,1.000,yz,33,-0.000678,0.069421
1,1.000,yz,34,-0.000907,0.073613
1,1.000,yz,35,-0.000982,0.074809
1,1.000,yz,36,-0.001201,0.078397
1,1.000,yz,37,-0.001294,0.079589
1,1.000,yz,38,-0.000931,0.085467
1,1.000,yz,39,-0.000671,0.086558
1,1.000,yz,40,-0.000270,0.088174
1,1.000,yz,41,0.000443,0.090837
1,1.000,yz,42,0.000745,0.091897
1,1.000,yz,43,0.001324,0.094016
1,1.000,yz,44,0.001324,0.094016
1,1.000,yz,45,0.003303,0.101283
1,1.000,yz,46,0.003739,0.102785
1,1.000,yz,47,0.003893,0.103271
1,1.000,yz,48,0.004056,0.103745
1,1.000,yz,49,0.005428,0.107433
1,1.000,yz,50,0.006100,0.109355
1,1.000,yz,51,0.006100,0.109355
1,1.000,yz,52,0.006931,0.112527
1,1.000,yz,53,0.007031,0.113096
1,1.000,yz,54,0.007434,0.116619
1,1.000,yz,55,0.007434,0.116619
1,1.000,yz,56,0.007719,0.120791
1,1.000,yz,57,0.008288,0.124848
1,1.000,yz,58,0.008490,0.125983
1,1.000,yz,59,0.008651,0.127141
1,1.000,yz,60,0.008712,0.127731
1,1.000,yz,61,0.008793,0.128923
1,1.000,yz,62,0.008808,0.131929
1,1.000,yz,63,0.008752,0.135536
1,1.000,yz,64,0.008678,0.136732
1,1.000,yz,65,0.008202,0.140250
1,1.000,yz,66,0.008087,0.140821
1,1.000,yz,67,0.006368,0.146786
1,1.000,yz,68,0.005785,0.148257
1,1.000,yz,69,0.005202,0.149695
1,1.000,yz,70,0.004634,0.151137
1,1.000,yz,71,0.004055,0.152553
1,1.000,yz,72,0.003658,0.153453
1,1.000,yz,73,0.000715,0.157434
1,1.000,yz,74,-0.000195,0.158148
1,1.000,yz,75,-0.001068,0.158910
1,1.000,yz,76,-0.002177,0.160130
1,1.000,yz,77,-0.002446,0.160452
1,1.000,yz,78,-0.002716,0.160775
1,1.000,yz,79,-0.004302,0.162709
1,1.000,yz,80,-0.004302,0.162709
1,3.000,xz,1,0.000000,0.000000
1,3.000,xz,2,0.002048,0.019804
1,3.000,xz,3,0.003542,0.039667
1,3.000,xz,4,0.004209,0.047606
1,3.000,xz,5,0.005093,0.055518
1,3.000,xz,6,0.005585,0.059467
1,3.000,xz,7,0.006027,0.063423
1,3.000,xz,8,0.008650,0.095185
1,3.000,xz,9,0.011455,0.122923
1,3.000,xz,10,0.012506,0.130817
1,3.000,xz,11,0.016837,0.158332
1,3.000,xz,12,0.022709,0.193649
1,3.000,xz,13,0.023182,0.221538
1,3.000,xz,14,0.023182,0.221538
1,3.000,xz,15,0.022746,0.229498
1,3.000,xz,16,0.021878,0.241423
1,3.000,xz,17,0.019758,0.257205
1,3.000,xz,18,0.019758,0.257205
1,3.000,xz,19,0.019086,0.261128
1,3.000,xz,20,0.014522,0.284562
1,3.000,xz,21,0.013700,0.288454
1,3.000,xz,22,0.007548,0.331788
1,3.000,xz,23,0.006516,0.343700
1,3.000,xz,24,0.005624,0.351621
1,3.000,xz,25,0.004585,0.359523
1,3.000,xz,26,0.004048,0.363472
1,3.000,xz,27,0.000691,0.395170
1,3.000,xz,28,0.000691,0.395170
1,3.000,xz,29,0.000377,0.403136
1,3.000,xz,30,0.001588,0.442974
1,3.000,xz,31,0.001667,0.450945
1,3.000,xz,32,0.001398,0.458913
1,3.000,xz,33,-0.000024,0.478791
1,3.000,xz,34,-0.001341,0.494679
1,3.000,xz,35,-0.002174,0.502607
1,3.000,xz,36,-0.003025,0.510532
1,3.000,xz,37,-0.004305,0.522418
1,3.000,xz,38,-0.004305,0.522418
1,3.000,xz,39,-0.021947,0.565663
1,3.000,xz,40,-0.040301,0.586451
1,3.000,xz,41,-0.045486,0.592442
1,3.000,xz,42,-0.053029,0.601631
1,3.000,xz,43,-0.053029,0.601631
1,3.000,xz,44,-0.055495,0.604737
1,3.000,xz,45,-0.070934,0.622852
1,3.000,xz,46,-0.095043,0.649311
1,3.000,xz,47,-0.103510,0.657716
1,3.000,xz,48,-0.103510,0.657716
1,3.000,xz,49,-0.112774,0.665235
1,3.000,xz,50,-0.119308,0.669778
1,3.000,xz,51,-0.135913,0.680775
1,3.000,xz,52,-0.151419,0.693274
1,3.000,xz,53,-0.159834,0.701751
1,3.000,xz,54,-0.164769,0.708005
1,3.000,xz,55,-0.166974,0.711322
1,3.000,xz,56,-0.179198,0.740640
1,3.000,xz,57,-0.189138,0.770881
1,3.000,xz,58,-0.194141,0.781735
1,3.000,xz,59,-0.199389,0.792475
1,3.000,xz,60,-0.199389,0.792475
1,3.000,xz,61,-0.207642,0.818973
1,3.000,xz,62,-0.209850,0.838783
1,3.000,xz,63,-0.211689,0.854622
1,3.000,xz,64,-0.212004,0.858596
1,3.000,xz,65,-0.212453,0.866556
1,3.000,xz,66,-0.208008,0.906035
1,3.000,xz,67,-0.206992,0.909886
1,3.000,xz,68,-0.201723,0.924914
1,3.000,xz,69,-0.200184,0.928586
1,3.000,xz,70,-0.188849,0.949609
1,3.000,xz,71,-0.168848,0.979342
1,3.000,xz,72,-0.166367,0.982451
1,3.000,xz,73,-0.161099,0.988405
1,3.000,xz,74,-0.152271,0.996399
1,3.000,xz,75,-0.145859,1.001104
1,3.000,xz,76,-0.122405,1.015927
1,3.000,xz,77,-0.109005,1.024321
1,3.000,xz,78,-0.083391,1.042914
1,3.000,xz,79,-0.070352,1.051931
1,3.000,xz,80,-0.070352,1.051931
1,3.000,yz,1,0.000000,0.000000
1,3.000,yz,2,-0.000348,0.007928
1,3.000,yz,3,-0.001251,0.027748
1,3.000,yz,4,-0.001693,0.039667
1,3.000,yz,5,-0.002443,0.055518
1,3.000,yz,6,-0.003748,0.087252
1,3.000,yz,7,-0.004566,0.107083
1,3.000,yz,8,-0.004566,0.107083
1,3.000,yz,9,-0.004716,0.111051
1,3.000,yz,10,-0.005445,0.126871
1,3.000,yz,11,-0.006226,0.142659
1,3.000,yz,12,-0.008142,0.173925
1,3.000,yz,13,-0.009113,0.209581
1,3.000,yz,14,-0.009110,0.217554
1,3.000,yz,15,-0.009074,0.221538
1,3.000,yz,16,-0.008531,0.245386
1,3.000,yz,17,-0.008531,0.245386
1,3.000,yz,18,-0.008367,0.249341
1,3.000,yz,19,-0.007239,0.268959
1,3.000,yz,20,-0.006256,0.284562
1,3.000,yz,21,-0.005516,0.296255
1,3.000,yz,22,-0.004905,0.308017
1,3.000,yz,23,-0.004232,0.331788
1,3.000,yz,24,-0.003893,0.347663
1,3.000,yz,25,-0.003673,0.355573
1,3.000,yz,26,-0.003142,0.375330
1,3.000,yz,27,-0.002771,0.395170
1,3.000,yz,28,-0.002738,0.419080
1,3.000,yz,29,-0.002781,0.427050
1,3.000,yz,30,-0.002911,0.438993
1,3.000,yz,31,-0.002911,0.438993
1,3.000,yz,32,-0.002440,0.482766
1,3.000,yz,33,-0.002360,0.486740
1,3.000,yz,34,-0.002276,0.490711
1,3.000,yz,35,-0.001991,0.502607
1,3.000,yz,36,-0.001429,0.522418
1,3.000,yz,37,0.001072,0.556166
1,3.000,yz,38,0.002926,0.568686
1,3.000,yz,39,0.003832,0.574611
1,3.000,yz,40,0.005583,0.586451
1,3.000,yz,41,0.007774,0.601631
1,3.000,yz,42,0.009346,0.613996
1,3.000,yz,43,0.009346,0.613996
1,3.000,yz,44,0.009346,0.613996
1,3.000,yz,45,0.012151,0.640494
1,3.000,yz,46,0.012406,0.643461
1,3.000,yz,47,0.012406,0.643461
1,3.000,yz,48,0.014147,0.662815
1,3.000,yz,49,0.015234,0.674108
1,3.000,yz,50,0.016029,0.690644
1,3.000,yz,51,0.016029,0.690644
1,3.000,yz,52,0.016566,0.704824
1,3.000,yz,53,0.016885,0.714754
1,3.000,yz,54,0.017242,0.725540
1,3.000,yz,55,0.017242,0.725540
1,3.000,yz,56,0.018004,0.744471
1,3.000,yz,57,0.018438,0.755970
1,3.000,yz,58,0.019075,0.770881
1,3.000,yz,59,0.020097,0.799741
1,3.000,yz,60,0.020384,0.818973
1,3.000,yz,61,0.020384,0.818973
1,3.000,yz,62,0.020455,0.826896
1,3.000,yz,63,0.020455,0.826896
1,3.000,yz,64,0.020596,0.842740
1,3.000,yz,65,0.020802,0.870541
1,3.000,yz,66,0.020705,0.886454
1,3.000,yz,67,0.020412,0.902155
1,3.000,yz,68,0.019987,0.913682
1,3.000,yz,69,0.019074,0.932209
1,3.000,yz,70,0.018458,0.949609
1,3.000,yz,71,0.018374,0.952970
1,3.000,yz,72,0.018020,0.963030
1,3.000,yz,73,0.017021,0.979342
1,3.000,yz,74,0.014706,1.001104
1,3.000,yz,75,0.011806,1.015927
1,3.000,yz,76,0.010787,1.020053
1,3.000,yz,77,0.009752,1.024321
1,3.000,yz,78,0.006777,1.038326
1,3.000,yz,79,0.006333,1.040634
1,3.000,yz,80,0.004158,1.051931
1,5.000,xz,1,0.000000,0.000000
1,5.000,xz,2,0.001398,0.016651
1,5.000,xz,3,0.003657,0.050001
1,5.000,xz,4,0.009328,0.166881
1,5.000,xz,5,0.010476,0.183553
1,5.000,xz,6,0.011604,0.200227
1,5.000,xz,7,0.020388,0.350385
1,5.000,xz,8,0.022355,0.400503
1,5.000,xz,9,0.030922,0.567421
1,5.000,xz,10,0.030922,0.567421
1,5.000,xz,11,0.040514,0.650306
1,5.000,xz,12,0.043114,0.666769
1,5.000,xz,13,0.051396,0.716063
1,5.000,xz,14,0.067724,0.848518
1,5.000,xz,15,0.069210,0.898637
1,5.000,xz,16,0.068674,0.932076
