gen,time,view,point,coord1,coord2
1,1.000,xz,1,-0.024226,0.000481
1,1.000,xz,2,-0.024226,0.000481
1,1.000,xz,3,-0.024226,0.000481
1,1.000,xz,4,-0.024226,0.000481
1,1.000,xz,5,0.002324,-0.000129
1,1.000,xz,6,-0.012142,0.000574
1,1.000,xz,7,-0.012142,0.000574
1,1.000,xz,8,0.008928,0.003794
1,1.000,xz,9,0.003891,0.010385
1,1.000,xz,10,0.011469,0.012566
1,1.000,xz,11,-0.001438,0.013853
1,1.000,xz,12,-0.001438,0.013853
1,1.000,xz,13,0.001270,0.015195
1,1.000,xz,14,0.001250,0.015131
1,1.000,xz,15,0.007228,0.015168
1,1.000,xz,16,0.014310,0.015628
1,1.000,xz,17,-0.009258,0.018236
1,1.000,xz,18,-0.009258,0.018236
1,1.000,xz,19,0.002727,0.019918
1,1.000,xz,20,0.002727,0.019918
1,1.000,xz,21,0.012768,0.021163
1,1.000,xz,22,0.005094,0.021499
1,1.000,xz,23,-0.008465,0.021919
1,1.000,xz,24,0.006938,0.023080
1,1.000,xz,25,0.006938,0.023080
1,1.000,xz,26,-0.013361,0.026531
1,1.000,xz,27,0.008010,0.024071
1,1.000,xz,28,0.008010,0.024071
1,1.000,xz,29,-0.002479,0.025037
1,1.000,xz,30,0.028649,0.028836
1,1.000,xz,31,0.006718,0.028880
1,1.000,xz,32,-0.000862,0.028740
1,1.000,xz,33,0.008806,0.029053
1,1.000,xz,34,0.003288,0.034070
1,1.000,xz,35,0.006527,0.037124
1,1.000,xz,36,0.022587,0.039332
1,1.000,xz,37,-0.012254,0.040726
1,1.000,xz,38,-0.012254,0.040726
1,1.000,xz,39,0.011667,0.041267
1,1.000,xz,40,0.019236,0.041660
1,1.000,xz,41,0.005392,0.042224
1,1.000,xz,42,-0.006321,0.042640
1,1.000,xz,43,0.016420,0.042326
1,1.000,xz,44,-0.018244,0.042061
1,1.000,xz,45,0.028862,0.044134
1,1.000,xz,46,-0.001403,0.046213
1,1.000,xz,47,-0.015442,0.047815
1,1.000,xz,48,-0.004079,0.047336
1,1.000,xz,49,-0.007007,0.046529
1,1.000,xz,50,0.005942,0.045964
1,1.000,xz,51,0.016723,0.047481
1,1.000,xz,52,0.016723,0.047481
1,1.000,xz,53,-0.008228,0.057674
1,1.000,xz,54,-0.003950,0.059830
1,1.000,xz,55,-0.005883,0.054370
1,1.000,xz,56,0.001002,0.049533
1,1.000,xz,57,0.001002,0.049533
1,1.000,xz,58,0.001002,0.049533
1,1.000,xz,59,0.011376,0.047832
1,1.000,xz,60,-0.001974,0.047991
1,1.000,xz,61,0.014593,0.049058
1,1.000,xz,62,0.014593,0.049058
1,1.000,xz,63,0.005165,0.053765
1,1.000,xz,64,0.002320,0.056467
1,1.000,xz,65,0.002320,0.056467
1,1.000,xz,66,-0.010510,0.060960
1,1.000,xz,67,0.005122,0.063996
1,1.000,xz,68,0.005611,0.067325
1,1.000,xz,69,0.005611,0.067325
1,1.000,xz,70,-0.006328,0.070787
1,1.000,xz,71,-0.002762,0.072729
1,1.000,xz,72,-0.019321,0.073576
1,1.000,xz,73,-0.019321,0.073576
1,1.000,xz,74,0.025697,0.073269
1,1.000,xz,75,0.026594,0.072031
1,1.000,xz,76,0.004101,0.066352
1,1.000,xz,77,-0.006218,0.071329
1,1.000,xz,78,-0.006218,0.071329
1,1.000,xz,79,0.015898,0.073388
1,1.000,xz,80,0.004894,0.075135
1,1.000,xz,81,0.004894,0.075135
1,1.000,xz,82,-0.005407,0.074840
1,1.000,xz,83,0.002859,0.076518
1,1.000,xz,84,0.008628,0.079473
1,1.000,xz,85,-0.007944,0.083022
1,1.000,xz,86,-0.007944,0.083022
1,1.000,xz,87,-0.002547,0.088480
1,1.000,xz,88,0.006227,0.087077
1,1.000,xz,89,0.006227,0.087077
1,1.000,xz,90,0.008881,0.077093
1,1.000,xz,91,-0.012842,0.082384
1,1.000,xz,92,-0.010691,0.084922
1,1.000,xz,93,-0.010691,0.084922
1,1.000,xz,94,-0.014748,0.086109
1,1.000,xz,95,-0.013424,0.087099
1,1.000,xz,96,0.018511,0.087321
1,1.000,xz,97,0.018511,0.087321
1,1.000,xz,98,0.003579,0.088153
1,1.000,xz,99,0.022949,0.089670
1,1.000,xz,100,-0.008810,0.091221
1,1.000,xz,101,0.020060,0.092568
1,1.000,xz,102,0.020060,0.092568
1,1.000,xz,103,0.009474,0.096970
1,1.000,xz,104,0.023085,0.100260
1,1.000,xz,105,-0.016474,0.097905
1,1.000,xz,106,0.003977,0.098777
1,1.000,xz,107,0.003977,0.098777
1,1.000,xz,108,-0.002704,0.098440
1,1.000,xz,109,-0.014246,0.096142
1,1.000,xz,110,-0.011630,0.090780
1,1.000,xz,111,-0.014574,0.091301
1,1.000,xz,112,0.009256,0.093674
1,1.000,xz,113,0.009256,0.093674
1,1.000,xz,114,0.009256,0.093674
1,1.000,xz,115,-0.023199,0.101172
1,1.000,xz,116,0.011428,0.104926
1,1.000,xz,117,0.008266,0.109674
1,1.000,xz,118,-0.008730,0.095393
1,1.000,xz,119,-0.017900,0.098529
1,1.000,xz,120,-0.017058,0.104177
1,1.000,xz,121,-0.017058,0.104177
1,1.000,xz,122,-0.012455,0.105562
1,1.000,xz,123,-0.006860,0.111445
1,1.000,xz,124,-0.006860,0.111445
1,1.000,xz,125,-0.006860,0.111445
1,1.000,xz,126,-0.015288,0.109615
1,1.000,xz,127,-0.015288,0.109615
1,1.000,xz,128,-0.019436,0.107534
1,1.000,xz,129,-0.019436,0.107534
1,1.000,xz,130,0.009306,0.107315
1,1.000,xz,131,-0.011375,0.109215
1,1.000,xz,132,-0.011375,0.109215
1,1.000,xz,133,-0.006681,0.115889
1,1.000,xz,134,-0.022757,0.119619
1,1.000,xz,135,0.002061,0.117593
1,1.000,xz,136,-0.009426,0.115554
1,1.000,xz,137,-0.008870,0.109545
1,1.000,xz,138,-0.008870,0.109545
1,1.000,xz,139,-0.024188,0.114873
1,1.000,xz,140,-0.022827,0.118896
1,1.000,xz,141,-0.025514,0.121765
1,1.000,xz,142,-0.016188,0.123012
1,1.000,xz,143,-0.016188,0.123012
1,1.000,xz,144,-0.019451,0.123401
1,1.000,xz,145,-0.007345,0.124538
1,1.000,xz,146,-0.019048,0.122557
1,1.000,xz,147,-0.020841,0.119235
1,1.000,xz,148,-0.026200,0.115986
1,1.000,xz,149,-0.008629,0.114089
1,1.000,xz,150,-0.011618,0.114496
1,1.000,xz,151,0.003823,0.125762
1,1.000,xz,152,-0.007113,0.127678
1,1.000,xz,153,-0.004359,0.129190
1,1.000,xz,154,-0.004359,0.129190
1,1.000,xz,155,-0.017434,0.130604
1,1.000,xz,156,-0.016902,0.131944
1,1.000,xz,157,-0.013556,0.132839
1,1.000,xz,158,-0.013556,0.132839
1,1.000,xz,159,0.003341,0.133017
1,1.000,xz,160,-0.012702,0.133244
1,1.000,xz,161,-0.008820,0.134700
1,1.000,xz,162,-0.002541,0.142837
1,1.000,xz,163,-0.007923,0.141409
1,1.000,xz,164,-0.007923,0.141409
1,1.000,xz,165,-0.007923,0.141409
1,1.000,xz,166,-0.010196,0.139692
1,1.000,xz,167,-0.007729,0.137221
1,1.000,xz,168,-0.000075,0.137526
1,1.000,xz,169,-0.031213,0.139237
1,1.000,xz,170,-0.008334,0.142063
1,1.000,xz,171,-0.008334,0.142063
1,1.000,xz,172,-0.017677,0.149915
1,1.000,xz,173,-0.017677,0.149915
1,1.000,xz,174,0.003501,0.147349
1,1.000,xz,175,0.010990,0.145872
1,1.000,xz,176,-0.019583,0.143807
1,1.000,xz,177,-0.019583,0.143807
1,1.000,xz,178,-0.001281,0.149380
1,1.000,xz,179,-0.000464,0.148152
1,1.000,xz,180,-0.003939,0.146975
1,1.000,xz,181,0.005694,0.147076
1,1.000,xz,182,0.005694,0.147076
1,1.000,xz,183,0.003760,0.153299
1,1.000,xz,184,0.003891,0.157419
1,1.000,xz,185,0.006338,0.154972
1,1.000,xz,186,-0.002211,0.152451
1,1.000,xz,187,-0.002211,0.152451
1,1.000,xz,188,0.019471,0.150660
1,1.000,xz,189,0.019471,0.150660
1,1.000,xz,190,0.013656,0.151969
1,1.000,xz,191,0.013656,0.151969
1,1.000,xz,192,-0.006964,0.153706
1,1.000,xz,193,0.008936,0.154664
1,1.000,xz,194,0.009385,0.153792
1,1.000,xz,195,-0.006153,0.152394
1,1.000,xz,196,0.012626,0.151664
1,1.000,xz,197,0.012626,0.151664
1,1.000,xz,198,0.013934,0.151398
1,1.000,xz,199,0.010206,0.152358
1,1.000,xz,200,0.010657,0.158048
1,1.000,yz,1,-0.003398,0.000481
1,1.000,yz,2,-0.010100,-0.000146
1,1.000,yz,3,-0.010100,-0.000146
1,1.000,yz,4,0.001636,0.000113
1,1.000,yz,5,0.009165,0.003794
1,1.000,yz,6,0.009958,0.007251
1,1.000,yz,7,-0.006615,0.013403
1,1.000,yz,8,-0.006615,0.013403
1,1.000,yz,9,-0.006615,0.013403
1,1.000,yz,10,0.010688,0.013853
1,1.000,yz,11,0.002429,0.014140
1,1.000,yz,12,0.002429,0.014140
1,1.000,yz,13,0.002429,0.014140
1,1.000,yz,14,0.002429,0.014140
1,1.000,yz,15,-0.007930,0.014930
1,1.000,yz,16,-0.004699,0.015131
1,1.000,yz,17,0.011408,0.015081
1,1.000,yz,18,0.011408,0.015081
1,1.000,yz,19,0.003616,0.015628
1,1.000,yz,20,-0.002312,0.016714
1,1.000,yz,21,0.006901,0.018236
1,1.000,yz,22,-0.000270,0.021163
1,1.000,yz,23,0.002631,0.021500
1,1.000,yz,24,-0.010719,0.021195
1,1.000,yz,25,0.010361,0.025614
1,1.000,yz,26,0.005670,0.023904
1,1.000,yz,27,0.005670,0.023904
1,1.000,yz,28,-0.017028,0.024071
1,1.000,yz,29,-0.017028,0.024071
1,1.000,yz,30,0.006836,0.025037
1,1.000,yz,31,0.007832,0.026905
1,1.000,yz,32,0.007832,0.026905
1,1.000,yz,33,0.014410,0.028740
1,1.000,yz,34,0.012754,0.029782
1,1.000,yz,35,0.012725,0.031564
1,1.000,yz,36,0.012725,0.031564
1,1.000,yz,37,-0.011066,0.034070
1,1.000,yz,38,0.017143,0.039332
1,1.000,yz,39,0.001465,0.040726
1,1.000,yz,40,0.000988,0.042224
1,1.000,yz,41,-0.003531,0.042519
1,1.000,yz,42,-0.014193,0.042326
1,1.000,yz,43,-0.016795,0.041923
1,1.000,yz,44,0.000762,0.042061
1,1.000,yz,45,-0.002913,0.046213
1,1.000,yz,46,0.001474,0.047139
1,1.000,yz,47,-0.003648,0.047778
1,1.000,yz,48,0.033671,0.047336
1,1.000,yz,49,0.033671,0.047336
1,1.000,yz,50,0.003148,0.045964
1,1.000,yz,51,-0.010892,0.052259
1,1.000,yz,52,0.009441,0.054335
1,1.000,yz,53,0.009441,0.054335
1,1.000,yz,54,0.008946,0.057674
1,1.000,yz,55,-0.003400,0.059361
1,1.000,yz,56,-0.003400,0.059361
1,1.000,yz,57,-0.003400,0.059361
1,1.000,yz,58,-0.003400,0.059361
1,1.000,yz,59,-0.003400,0.059361
1,1.000,yz,60,-0.003400,0.059361
1,1.000,yz,61,0.002168,0.048351
1,1.000,yz,62,0.005838,0.047991
1,1.000,yz,63,-0.009042,0.049058
1,1.000,yz,64,-0.009042,0.049058
1,1.000,yz,65,-0.007276,0.053765
1,1.000,yz,66,-0.007276,0.053765
1,1.000,yz,67,0.000681,0.056467
1,1.000,yz,68,0.003997,0.063996
1,1.000,yz,69,0.014167,0.065131
1,1.000,yz,70,0.007242,0.066657
1,1.000,yz,71,0.011854,0.067325
1,1.000,yz,72,-0.006100,0.072729
1,1.000,yz,73,-0.000880,0.073576
1,1.000,yz,74,0.001239,0.073269
1,1.000,yz,75,-0.001045,0.072031
1,1.000,yz,76,-0.001045,0.072031
1,1.000,yz,77,0.008631,0.064927
1,1.000,yz,78,0.002204,0.066352
1,1.000,yz,79,0.002204,0.066352
1,1.000,yz,80,0.003129,0.073388
1,1.000,yz,81,-0.008696,0.074694
1,1.000,yz,82,-0.020653,0.074862
1,1.000,yz,83,0.002055,0.079473
1,1.000,yz,84,-0.005849,0.086514
1,1.000,yz,85,-0.019810,0.088480
1,1.000,yz,86,-0.019810,0.088480
1,1.000,yz,87,-0.000490,0.083466
1,1.000,yz,88,-0.013284,0.079305
1,1.000,yz,89,0.019607,0.077522
1,1.000,yz,90,0.019607,0.077522
1,1.000,yz,91,-0.003620,0.084260
1,1.000,yz,92,0.007158,0.084991
1,1.000,yz,93,-0.003322,0.084868
1,1.000,yz,94,-0.003322,0.084868
1,1.000,yz,95,0.001207,0.087392
1,1.000,yz,96,0.012170,0.087321
1,1.000,yz,97,0.004351,0.088153
1,1.000,yz,98,0.009336,0.092568
1,1.000,yz,99,0.011906,0.095032
1,1.000,yz,100,0.011906,0.095032
1,1.000,yz,101,0.002926,0.096970
1,1.000,yz,102,0.012994,0.099198
1,1.000,yz,103,0.012994,0.099198
1,1.000,yz,104,0.012994,0.099198
1,1.000,yz,105,0.023371,0.098833
1,1.000,yz,106,0.001457,0.097905
1,1.000,yz,107,-0.004096,0.092900
1,1.000,yz,108,-0.021943,0.090780
1,1.000,yz,109,-0.010005,0.091301
1,1.000,yz,110,0.003629,0.097364
1,1.000,yz,111,0.003629,0.097364
1,1.000,yz,112,0.011802,0.101172
1,1.000,yz,113,0.011802,0.101172
1,1.000,yz,114,-0.006220,0.104926
1,1.000,yz,115,-0.006220,0.104926
1,1.000,yz,116,0.025734,0.107835
1,1.000,yz,117,0.025734,0.107835
1,1.000,yz,118,0.008102,0.109674
1,1.000,yz,119,0.000765,0.100823
1,1.000,yz,120,0.003835,0.093057
1,1.000,yz,121,-0.001726,0.093192
1,1.000,yz,122,0.009357,0.104177
1,1.000,yz,123,0.009357,0.104177
1,1.000,yz,124,0.011737,0.105177
1,1.000,yz,125,0.011737,0.105177
1,1.000,yz,126,0.004909,0.105562
1,1.000,yz,127,0.004909,0.105562
1,1.000,yz,128,0.006354,0.107288
1,1.000,yz,129,0.015438,0.109615
1,1.000,yz,130,0.015438,0.109615
1,1.000,yz,131,0.012743,0.107534
1,1.000,yz,132,-0.006610,0.107315
1,1.000,yz,133,-0.002063,0.112715
1,1.000,yz,134,0.005546,0.118515
1,1.000,yz,135,-0.010053,0.113653
1,1.000,yz,136,-0.010053,0.113653
1,1.000,yz,137,-0.006462,0.109545
1,1.000,yz,138,-0.006462,0.109545
1,1.000,yz,139,0.000420,0.118896
1,1.000,yz,140,0.018596,0.121765
1,1.000,yz,141,-0.003742,0.123012
1,1.000,yz,142,-0.003742,0.123012
1,1.000,yz,143,-0.018195,0.123018
1,1.000,yz,144,0.015860,0.123401
1,1.000,yz,145,0.001022,0.124538
1,1.000,yz,146,0.003419,0.125587
1,1.000,yz,147,-0.007472,0.125034
1,1.000,yz,148,0.003864,0.122557
1,1.000,yz,149,0.003864,0.122557
1,1.000,yz,150,0.004825,0.119235
1,1.000,yz,151,0.006320,0.115986
1,1.000,yz,152,0.002502,0.120065
1,1.000,yz,153,0.004656,0.123313
1,1.000,yz,154,0.004656,0.123313
1,1.000,yz,155,0.011362,0.129190
1,1.000,yz,156,0.011362,0.129190
1,1.000,yz,157,0.007533,0.130604
1,1.000,yz,158,-0.003098,0.133017
1,1.000,yz,159,-0.000604,0.133244
1,1.000,yz,160,0.005159,0.143503
1,1.000,yz,161,0.005159,0.143503
1,1.000,yz,162,0.005159,0.143503
1,1.000,yz,163,0.023591,0.142837
1,1.000,yz,164,0.023591,0.142837
1,1.000,yz,165,0.013342,0.137978
1,1.000,yz,166,0.014491,0.137221
1,1.000,yz,167,0.014491,0.137221
1,1.000,yz,168,0.000132,0.137526
1,1.000,yz,169,0.002123,0.142063
1,1.000,yz,170,0.008558,0.145384
1,1.000,yz,171,0.025855,0.150530
1,1.000,yz,172,0.007016,0.149915
1,1.000,yz,173,-0.007261,0.147349
1,1.000,yz,174,0.016976,0.144574
1,1.000,yz,175,-0.004961,0.143734
1,1.000,yz,176,-0.004961,0.143734
1,1.000,yz,177,-0.003272,0.146577
1,1.000,yz,178,0.022669,0.149738
1,1.000,yz,179,-0.004302,0.149380
1,1.000,yz,180,-0.004302,0.149380
1,1.000,yz,181,-0.004302,0.149380
1,1.000,yz,182,0.003959,0.146975
1,1.000,yz,183,0.003959,0.146975
1,1.000,yz,184,0.003959,0.146975
1,1.000,yz,185,-0.012440,0.149502
1,1.000,yz,186,0.002542,0.159908
1,1.000,yz,187,0.002539,0.159188
1,1.000,yz,188,0.005631,0.154972
1,1.000,yz,189,0.007496,0.150660
1,1.000,yz,190,0.007496,0.150660
1,1.000,yz,191,-0.006527,0.150314
1,1.000,yz,192,-0.010935,0.151969
1,1.000,yz,193,-0.006412,0.153706
1,1.000,yz,194,-0.006412,0.153706
1,1.000,yz,195,-0.002113,0.151664
1,1.000,yz,196,-0.008911,0.151398
1,1.000,yz,197,-0.005992,0.158048
1,1.000,yz,198,-0.005992,0.158048
1,1.000,yz,199,-0.005992,0.158048
1,1.000,yz,200,-0.005992,0.158048
1,3.000,xz,1,0.010861,-0.005240
1,3.000,xz,2,0.010861,-0.005240
1,3.000,xz,3,0.010861,-0.005240
1,3.000,xz,4,0.002058,0.001271
1,3.000,xz,5,0.013369,0.010369
1,3.000,xz,6,0.001049,0.015954
1,3.000,xz,7,0.001049,0.015954
1,3.000,xz,8,-0.006607,0.030269
1,3.000,xz,9,0.006272,0.059908
1,3.000,xz,10,-0.005321,0.068512
1,3.000,xz,11,0.005934,0.070402
1,3.000,xz,12,-0.003759,0.078021
1,3.000,xz,13,0.011596,0.090647
1,3.000,xz,14,0.011596,0.090647
1,3.000,xz,15,0.011596,0.090647
1,3.000,xz,16,0.003435,0.096715
1,3.000,xz,17,0.003435,0.096715
1,3.000,xz,18,0.003435,0.096715
1,3.000,xz,19,0.004407,0.102051
1,3.000,xz,20,0.008547,0.119427
1,3.000,xz,21,-0.007743,0.128839
1,3.000,xz,22,-0.007743,0.128839
1,3.000,xz,23,-0.007743,0.128839
1,3.000,xz,24,-0.007743,0.128839
1,3.000,xz,25,0.003018,0.154441
1,3.000,xz,26,0.019844,0.172663
1,3.000,xz,27,-0.004707,0.177791
1,3.000,xz,28,-0.004707,0.177791
1,3.000,xz,29,-0.004707,0.177791
1,3.000,xz,30,-0.002807,0.182976
1,3.000,xz,31,-0.001937,0.187907
1,3.000,xz,32,0.013631,0.196453
1,3.000,xz,33,0.012443,0.202754
1,3.000,xz,34,-0.009441,0.211195
1,3.000,xz,35,0.035576,0.221833
1,3.000,xz,36,0.035576,0.221833
1,3.000,xz,37,0.035576,0.221833
1,3.000,xz,38,0.002297,0.229027
1,3.000,xz,39,0.010348,0.246517
1,3.000,xz,40,0.010348,0.246517
1,3.000,xz,41,-0.000991,0.250230
1,3.000,xz,42,-0.000991,0.250230
1,3.000,xz,43,0.016102,0.252653
1,3.000,xz,44,0.018881,0.272009
1,3.000,xz,45,0.009911,0.299266
1,3.000,xz,46,0.001908,0.305782
1,3.000,xz,47,-0.003152,0.312269
1,3.000,xz,48,-0.003152,0.312269
1,3.000,xz,49,0.005812,0.318028
1,3.000,xz,50,-0.019508,0.328726
1,3.000,xz,51,-0.001693,0.331909
1,3.000,xz,52,-0.001693,0.331909
1,3.000,xz,53,-0.007181,0.341414
1,3.000,xz,54,-0.016019,0.346901
1,3.000,xz,55,0.000811,0.351664
1,3.000,xz,56,-0.022782,0.355585
1,3.000,xz,57,-0.015581,0.358590
1,3.000,xz,58,-0.003412,0.375979
1,3.000,xz,59,-0.021374,0.379885
1,3.000,xz,60,-0.025605,0.382595
1,3.000,xz,61,-0.025605,0.382595
1,3.000,xz,62,-0.023248,0.384709
1,3.000,xz,63,-0.023248,0.384709
1,3.000,xz,64,-0.015582,0.400789
1,3.000,xz,65,-0.022430,0.403473
1,3.000,xz,66,-0.026482,0.412325
1,3.000,xz,67,-0.016926,0.415006
1,3.000,xz,68,-0.024936,0.417953
1,3.000,xz,69,-0.024936,0.417953
1,3.000,xz,70,-0.015512,0.425391
1,3.000,xz,71,-0.028903,0.435019
1,3.000,xz,72,-0.028903,0.435019
1,3.000,xz,73,-0.011731,0.458020
1,3.000,xz,74,-0.023817,0.460602
1,3.000,xz,75,-0.000304,0.462973
1,3.000,xz,76,-0.000304,0.462973
1,3.000,xz,77,-0.013053,0.474376
1,3.000,xz,78,0.008207,0.478243
1,3.000,xz,79,0.008207,0.478243
1,3.000,xz,80,-0.021679,0.482998
1,3.000,xz,81,-0.023140,0.495485
1,3.000,xz,82,-0.020302,0.503201
1,3.000,xz,83,-0.015160,0.506244
1,3.000,xz,84,-0.008626,0.508651
1,3.000,xz,85,-0.008626,0.508651
1,3.000,xz,86,-0.008415,0.511867
1,3.000,xz,87,-0.022832,0.515912
1,3.000,xz,88,-0.022832,0.515912
1,3.000,xz,89,-0.022832,0.515912
1,3.000,xz,90,-0.022832,0.515912
1,3.000,xz,91,-0.017101,0.528112
1,3.000,xz,92,-0.002745,0.532651
